id	施設名	区分	lat	lon	R6_0歳_199以下	R6_0歳_200	R6_0歳_201以上	R6_0歳_最低指数	R6_0歳_計	R6_1歳_199以下	R6_1歳_200	R6_1歳_201以上	R6_1歳_最低指数	R6_1歳_計	R6_2歳_199以下	R6_2歳_200	R6_2歳_201以上	R6_2歳_最低指数	R6_2歳_計	R6_3歳_199以下	R6_3歳_200	R6_3歳_201以上	R6_3歳_最低指数	R6_3歳_計	R5_0歳_199以下	R5_0歳_200	R5_0歳_201以上	R5_0歳_最低指数	R5_0歳_計	R5_1歳_199以下	R5_1歳_200	R5_1歳_201以上	R5_1歳_最低指数	R5_1歳_計	R5_2歳_199以下	R5_2歳_200	R5_2歳_201以上	R5_2歳_最低指数	R5_2歳_計	R5_3歳_199以下	R5_3歳_200	R5_3歳_201以上	R5_3歳_最低指数	R5_3歳_計
1	北保育所	市立	35.68703	139.488843	0	1	5	200	6	0	1	4	200	5	9	0	1	150	10	2	0	0	×	2	3	2	3	139	8	0	4	1	200	5	6	2	2	170	10	0	0	0	-	0
2	東保育所	市立	35.673238	139.50354	0	2	4	200	6	0	6	1	200	7	0	0	3	202	3	×	×	×	×	1	0	0	6	201	6	0	1	6	200	7	0	1	3	200	4	0	0	2	×	2
3	西保育所	市立	35.670237	139.462849	4	1	1	160	6	0	1	4	200	5	4	1	0	151	5	0	1	1	200	2	0	5	3	200	8	0	4	2	200	6	4	0	1	150	5	1	1	1	182	3
4	中央保育所	市立	35.679824	139.473692	0	0	3	202	3	2	4	1	170	7	2	0	1	196	3	2	0	0	×	2	3	0	2	0	5	0	2	5	200	7	0	0	3	203	3	1	0	1	×	2
5	北山保育所	市立	35.690522	139.455065	4	0	2	170	6	0	0	5	201	5	1	0	4	193	5	×	×	×	×	1	2	2	0	140	4	0	0	5	201	5	0	1	4	200	5	0	0	2	×	2
6	住吉保育所	市立	35.656851	139.46056	2	2	2	172	6	0	1	8	200	9	5	0	2	80	7	0	1	1	200	2	0	5	4	200	9	0	4	5	200	9	6	1	1	153	8	4	0	0	163	4
7	小柳保育所	市立	35.660853	139.501025	0	3	0	200	3	0	0	2	×	2	×	×	×	×	1	2	1	1	150	4	0	0	2	×	2	0	0	2	×	2	×	×	×	×	1	6	0	1	160	7
8	八幡保育所	市立	35.668996	139.484803	2	0	0	×	2	0	0	2	×	2	0	0	0	-	0	×	×	×	×	1	1	0	2	192	3	2	1	2	173	5	0	0	0	-	0	3	1	2	173	6
9	本町保育所	市立	35.664433	139.47142	0	0	6	202	6	0	2	3	200	5	0	0	2	×	2	2	0	2	150	4	0	1	2	200	3	0	2	2	200	4	0	0	2	×	2	9	0	0	116	9
10	三本木保育所	市立	35.677621	139.488532	0	2	4	200	6	0	2	11	200	13	1	1	2	183	4	×	×	×	×	1	0	3	4	200	7	0	5	7	200	12	0	0	4	201	4	0	0	3	201	3
11	美好保育所	市立	35.672717	139.466768	3	2	1	146	6	0	1	1	200	2	6	1	2	150	9	×	×	×	×	1	0	4	2	200	6	0	0	2	×	2	5	0	1	146	6	2	0	0	×	2
12	府中愛児園	私立	35.668018	139.492759	1	0	5	183	6	12	14	13	150	39	2	1	3	183	6	0	0	2	×	2	5	7	7	180	19	13	8	10	100	31	1	1	0	×	2	7	1	3	149	11
13	南分倍保育園	私立	35.658692	139.468881	2	1	3	182	6	1	5	3	190	9	3	0	0	182	3	3	0	0	160	3	1	2	3	193	6	2	3	4	190	9	1	0	3	174	4	4	0	0	170	4
14	髙安寺保育園	私立	35.669487	139.471531	0	4	6	200	10	0	3	7	200	10	0	0	4	203	4	3	1	4	154	8	0	7	3	200	10	0	4	6	200	10	1	2	1	193	4	11	1	0	151	12
15	千春保育園	私立	35.69484	139.462449	2	0	2	150	4	4	2	3	151	9	4	0	1	131	5	1	0	1	×	2	3	2	0	0	5	1	2	4	150	7	10	0	2	148	12	1	0	1	×	2
16	是政保育園	私立	35.659896	139.489099	2	4	3	153	9	0	0	8	201	8	×	×	×	×	1	0	0	0	-	0	0	9	7	200	16	0	1	7	200	8	×	×	×	×	1	0	0	0	-	0
17	晴見保育園	私立	35.680272	139.479214	0	8	1	200	9	0	4	1	200	5	×	×	×	×	1	0	0	0	-	0	4	0	4	150	8	0	2	2	200	4	×	×	×	×	1	0	0	0	-	0
18	押立保育園	私立	35.660484	139.512484	2	5	1	180	8	0	6	6	200	12	0	0	2	×	2	0	0	3	203	3	0	4	5	200	9	0	0	12	201	12	0	0	2	×	2	0	0	4	201	4
19	府中保育園	私立	35.66654	139.460746	-	-	-	-	-	0	0	11	202	11	×	×	×	×	1	0	0	3	203	3	-	-	-	-	-	0	0	11	202	11	×	×	×	×	1	2	0	1	184	3
20	にじのいろ保育園	私立	35.65662	139.48323	3	1	2	150	6	1	4	1	193	6	0	0	2	×	2	0	0	0	-	0	6	1	2	105	9	2	2	2	145	6	×	×	×	×	1	0	0	0	-	0
21	山手保育園	私立	35.664387	139.513854	2	0	0	×	2	1	2	1	190	4	0	0	0	-	0	-	-	-	-	-	1	1	1	163	3	0	2	0	200	2	0	0	0	-	0	-	-	-	-	-
22	さくらんぼ保育園	私立	35.673939	139.511523	4	3	2	151	9	0	3	7	200	10	0	0	2	×	2	×	×	×	×	1	4	2	2	154	8	0	4	7	200	11	0	1	1	200	2	0	0	0	-	0
23	押立第二保育園	私立	35.659037	139.513152	1	3	5	180	9	0	7	3	200	10	0	0	3	201	3	×	×	×	×	1	4	2	3	181	9	0	3	7	200	10	3	0	1	134	4	1	0	1	×	2
24	わらしこ保育園	私立	35.676509	139.507883	2	4	4	150	10	0	1	1	200	2	0	0	0	-	0	0	0	0	-	0	4	1	3	140	8	0	1	2	200	3	0	0	0	-	0	0	0	3	203	3
25	第２府中保育園	私立	35.669544	139.441011	4	0	5	162	9	1	4	3	180	8	3	0	1	150	4	0	0	3	201	3	1	1	2	183	4	0	0	7	201	7	4	0	1	183	5	0	0	3	203	3
26	府中めぐみ保育園	私立	35.671072	139.48247	0	7	2	200	9	0	0	4	201	4	×	×	×	×	1	-	-	-	-	-	0	8	1	200	9	0	1	2	200	3	×	×	×	×	1	-	-	-	-	-
27	キッズエイド武蔵保育園	私立	35.676118	139.499151	1	2	1	150	4	1	1	2	151	4	2	1	0	191	3	×	×	×	×	1	2	1	3	149	6	1	2	1	190	4	2	0	0	×	2	0	0	0	-	0
28	山手保育園清水が丘分園	私立	35.665324	139.493962	1	1	1	161	3	1	4	1	192	6	2	0	0	×	2	-	-	-	-	-	1	0	2	193	3	2	0	0	×	2	0	0	0	-	0	-	-	-	-	-
29	やまびこ保育園	私立	35.685962	139.521762	0	0	2	×	2	2	0	2	162	4	0	0	0	-	0	0	0	0	-	0	0	2	3	200	5	0	3	2	200	5	×	×	×	×	1	0	0	0	-	0
30	キッズランド府中保育園	私立	35.673738	139.475463	2	3	1	153	6	0	0	2	×	2	1	0	1	×	2	×	×	×	×	1	0	4	2	200	6	0	1	1	200	2	1	0	1	×	2	×	×	×	×	1
31	府中保育園分園	私立	35.670596	139.457291	0	6	6	200	12	0	0	3	201	3	-	-	-	-	0	-	-	-	-	-	0	5	7	200	12	0	3	1	200	4	-	-	-	-	-	-	-	-	-	-
32	キッズルームこっこ保育園	私立	35.667186	139.503783	1	1	2	192	4	0	3	3	200	6	0	0	0	-	0	×	×	×	×	1	2	1	0	185	3	0	3	3	200	6	0	0	0	-	0	2	0	1	153	3
33	府中中河原雲母保育園	私立	35.658696	139.459027	3	1	2	170	6	1	3	0	196	4	×	×	×	×	1	2	0	0	×	2	4	2	0	180	6	4	1	0	153	5	×	×	×	×	1	×	×	×	×	1
34	めぐみ第二保育園	私立	35.686779	139.489105	4	4	1	174	9	×	×	×	×	1	2	2	1	171	5	0	0	2	×	2	3	3	3	152	9	×	×	×	×	1	2	2	2	182	6	×	×	×	×	1
35	西府の森保育園	私立	35.670948	139.458073	-	-	-	-	-	0	0	12	201	12	0	0	2	×	2	0	0	0	-	0	-	-	-	-	-	0	8	4	200	12	0	2	0	200	2	0	0	0	-	0
36	わらしこ第２保育園	私立	35.673226	139.506151	0	0	0	-	0	2	6	4	182	12	0	2	0	200	2	×	×	×	×	1	1	1	2	175	4	8	0	2	151	10	×	×	×	×	1	0	0	0	-	0
37	山手こひつじ保育園	私立	35.66421	139.511885	1	3	2	192	6	0	0	5	201	5	×	×	×	×	1	1	0	1	×	2	0	3	3	200	6	0	0	6	202	6	1	1	0	×	2	5	4	2	190	11
38	白糸さくらんぼ保育園	私立	35.668809	139.518177	2	0	1	161	3	3	3	4	182	10	0	3	0	200	3	0	0	0	-	0	1	0	1	×	2	3	4	3	190	10	0	0	3	201	3	2	0	2	193	4
39	分倍保育園	私立	35.676126	139.467067	0	1	5	200	6	2	4	9	163	15	3	0	1	189	4	4	0	1	163	5	0	0	6	201	6	0	7	7	200	14	2	0	2	180	4	4	0	3	120	7
40	光明高倉保育園	私立	35.666848	139.467179	0	6	2	200	8	0	0	14	201	14	0	0	3	202	3	×	×	×	×	1	3	4	2	151	9	0	2	11	200	13	0	1	1	200	2	0	5	2	200	7
41	まなびの森保育園中河原	私立	35.661203	139.452433	1	1	4	172	6	0	6	4	200	10	×	×	×	×	1	0	0	0	-	0	0	4	2	200	6	0	3	7	200	10	1	3	2	183	6	0	0	2	×	2
42	明桜保育園	私立	35.665761	139.448785	0	3	2	200	5	6	0	6	151	12	×	×	×	×	1	×	×	×	×	1	×	×	×	×	1	2	5	4	154	11	×	×	×	×	1	2	0	1	154	3
43	そよかぜハーモニー保育園	私立	35.670742	139.491519	2	3	1	180	6	0	3	2	200	5	0	0	0	-	0	×	×	×	×	1	1	1	0	×	2	0	3	1	200	4	0	0	0	-	0	0	0	0	-	0
44	よつば保育園	私立	35.675899	139.489844	0	4	5	200	9	0	0	6	202	6	0	0	3	202	3	0	0	2	×	2	0	5	4	200	9	0	2	4	200	6	0	0	3	202	3	×	×	×	×	1
45	第２キッズランド府中保育園	私立	35.673738	139.475463	0	0	6	201	6	0	0	4	204	4	0	0	2	×	2	0	0	0	-	0	0	0	6	202	6	0	2	2	200	4	0	0	3	203	3	0	0	3	201	3
46	光明府中南保育園	私立	35.663796	139.474979	6	3	0	151	9	6	13	0	151	19	2	0	0	×	2	-	-	-	-	-	2	0	0	×	2	11	8	1	160	20	×	×	×	×	1	-	-	-	-	-
47	アスク府中本町保育園	私立	35.664719	139.477009	0	3	3	200	6	0	2	4	200	6	2	1	0	160	3	×	×	×	×	1	2	2	1	172	5	0	0	6	201	6	0	1	1	200	2	1	1	1	168	3
48	太陽の子清水が丘三丁目保育園	私立	35.666439	139.503437	1	1	1	175	3	1	3	3	193	7	×	×	×	×	1	2	0	0	×	2	0	0	3	202	3	0	5	2	200	7	×	×	×	×	1	1	1	0	×	2
49	ラフ・クルー分倍河原保育園	私立	35.671539	139.463291	0	2	1	200	3	0	4	2	200	6	0	0	0	-	0	0	0	0	-	0	0	1	2	200	3	0	0	6	201	6	0	0	0	-	0	0	1	1	200	2
50	ラフ・クルー分倍河原保育園分園	私立	35.670044	139.468451	3	0	0	150	3	0	4	1	200	5	0	0	0	-	0	-	-	-	-	-	1	1	1	170	3	0	5	0	200	5	0	0	0	-	0	-	-	-	-	-
51	このめ保育園	私立	35.671358	139.483195	0	3	3	200	6	0	0	4	203	4	0	0	2	×	2	0	0	2	×	2	0	3	3	200	6	0	0	4	203	4	0	0	3	203	3	0	1	3	200	4
52	アスク府中片町保育園	私立	35.667015	139.473186	0	2	4	200	6	0	4	2	200	6	1	0	1	×	2	0	0	0	-	0	0	2	4	200	6	0	1	5	200	6	0	1	1	200	2	2	1	1	192	4
53	ふちしらコスモ保育園	私立	35.664312	139.518236	2	1	1	0	4	4	5	4	151	13	0	0	2	×	2	0	0	0	-	0	1	5	0	192	6	0	4	10	200	14	×	×	×	×	1	1	0	2	192	3
54	トレジャーキッズぶばい保育園	私立	35.671509	139.466712	0	2	2	200	4	0	7	0	200	7	×	×	×	×	1	0	0	0	-	0	0	0	4	202	4	0	5	3	200	8	1	0	2	190	3	×	×	×	×	1
55	まなびの森保育園東府中	私立	35.669026	139.497995	0	5	1	200	6	0	0	8	201	8	×	×	×	×	1	0	0	0	-	0	2	2	2	193	6	0	3	5	200	8	0	0	2	×	2	×	×	×	×	1
56	まなびの森保育園府中	私立	35.673319	139.482399	0	0	6	201	6	0	0	14	201	14	0	0	2	×	2	0	0	0	-	0	0	4	2	200	6	0	2	12	200	14	0	0	2	×	2	0	2	0	200	2
57	ソラスト府中保育園	私立	35.662572	139.501119	4	1	4	152	9	2	5	4	192	11	0	0	2	×	2	2	0	0	×	2	4	2	2	150	8	0	3	8	200	11	0	0	0	-	0	×	×	×	×	1
58	ヴィラまなびの森保育園住吉町	私立	35.663221	139.452613	0	0	3	202	3	3	4	3	190	10	1	1	0	×	2	1	0	2	184	3	0	1	2	200	3	0	6	4	200	10	×	×	×	×	1	0	0	3	202	3
59	府中緑町・学びの保育園	私立	35.671266	139.485793	0	3	0	200	3	0	4	4	200	8	×	×	×	×	1	0	0	2	×	2	0	2	1	200	3	0	6	2	200	8	0	0	2	×	2	2	1	2	190	5
60	ひよこっこはちまん	私立	35.668996	139.484803	×	×	×	×	1	×	×	×	×	1	0	0	0	-	0	-	-	-	-	-	0	0	0	-	0	×	×	×	×	1	0	0	0	-	0	-	-	-	-	-
61	ひよこっこわかまつ	私立	35.667186	139.503783	0	0	0	-	0	0	2	0	200	2	0	0	0	-	0	-	-	-	-	-	×	×	×	×	1	×	×	×	×	1	0	0	0	-	0	-	-	-	-	-
62	ねぎし保育園	私立	35.693809	139.460304	2	0	1	145	3	2	1	0	151	3	0	0	0	-	0	-	-	-	-	-	×	×	×	×	1	×	×	×	×	1	0	0	0	-	0	-	-	-	-	-
63	府中プチ・クレイシュ	認可外	35.672287	139.481283
64	府中北プチ・クレイシュ	認可外	35.687201	139.50193
65	エーワン府中駅前保育園	認可外	35.668807	139.494299
66	ピジョンランド府中	認可外	35.669868	139.481169
67	田中保育所	認可外	35.684968	139.491467
68	府中エンゼルホーム	認可外	35.678156	139.462373
69	リブリエンゼル府中	認可外	35.6769	139.459736
70	ごんべのお宿保育園	認可外	35.667255	139.494084
71	京王キッズプラッツ東府中	認可外	35.669181	139.495031
72	ポピンズナーサリースクール府中	認可外	35.672875	139.4766
73	グローバルキッズ府中本町園	認可外	35.66569	139.478132
74	みのり保育園	認可外	35.681341	139.485525
75	ヒューマンアカデミー中河原保育園	認可外	35.660186	139.451829
76	ぱるキッズ府中	認可外	35.678487	139.484742
77	きなり保育園	認可外	35.683253	139.489595
78	結hana保育園	認可外	35.689011	139.479751
79	府中たいよう保育園	認可外	35.670353	139.478145
80	リトルガーデンインターナショナルスクール・アカデミー	認可外	35.678277	139.478032
81	Jelly Beans	認可外	35.675642	139.483231
82	Stars＆Stripes English	認可外	35.675536	139.483375
83	聖イリナ・モンテッソーリスクール	認可外	35.656791	139.457866
84	マムのおうち	認可外	35.6732	139.477815
85	カルバリーチャペル府中(We go eigo)	認可外	35.672317	139.486026
86	PAL International School@TUFS	認可外	35.672402	139.522392
87	Stars＆Stripes International School Tama River 校	認可外	35.664897	139.443128
