id	施設名	0歳	1歳	2歳	3歳	4歳	5歳
1	北保育所	6	5	10	1	1	1
2	東保育所	6	7	3	1	1	0
3	西保育所	6	5	5	2	1	0
4	中央保育所	3	7	3	3	3	0
5	北山保育所	6	5	5	1	1	1
6	住吉保育所	6	9	10	1	1	0
7	小柳保育所	3	2	1	2	1	0
8	八幡保育所	3	2	0	0	1	1
9	本町保育所	6	4	2	0	2	0
10	三本木保育所	6	13	4	1	1	0
11	美好保育所	6	2	8	3	2	1
12	府中愛児園	17	45	1	0	0	0
13	南分倍保育園	6	9	3	2	0	0
14	髙安寺保育園	10	10	4	7	3	0
15	千春保育園	9	8	13	0	0	0
16	是政保育園	16	8	1	0	0	0
17	晴見保育園	9	4	1	0	0	0
18	押立保育園	9	12	1	2	0	0
19	府中保育園	-	11	1	2	2	1
20	にじのいろ保育園	9	6	1	0	0	0
21	山手保育園	10	3	0	-	-	-
22	さくらんぼ保育園	9	10	2	0	0	0
23	押立第二保育園	9	10	3	1	0	1
24	わらしこ保育園	11	2	0	3	0	0
25	第２府中保育園	9	6	5	2	0	0
26	府中めぐみ保育園	9	3	1	-	-	-
27	キッズエイド武蔵保育園	6	4	2	0	0	0
28	山手保育園清水が丘分園	6	6	0	-	-	-
29	やまびこ保育園	6	4	0	0	1	0
30	キッズランド府中保育園	6	2	2	0	0	0
31	府中保育園分園	12	1	-	-	-	-
32	キッズルームこっこ保育園	4	6	0	0	0	0
33	府中中河原雲母保育園	6	4	1	0	0	0
34	めぐみ第二保育園	9	1	5	2	0	0
35	西府の森保育園	-	12	2	0	0	0
36	わらしこ第２保育園	5	12	1	0	0	0
37	山手こひつじ保育園	6	5	1	0	0	0
38	白糸さくらんぼ保育園	5	10	3	2	0	0
39	分倍保育園	6	14	4	8	0	0
40	光明高倉保育園	9	13	2	0	0	0
41	まなびの森保育園中河原	6	10	1	0	0	0
42	明桜保育園	5	12	1	0	0	0
43	そよかぜハーモニー保育園	6	4	0	0	0	0
44	よつば保育園	9	6	3	2	0	0
45	第２キッズランド府中保育園	6	4	2	0	0	0
46	光明府中南保育園	8	21	0	-	-	-
47	アスク府中本町保育園	6	6	2	0	0	0
48	太陽の子清水が丘三丁目保育園	3	6	1	0	1	0
49	ラフ・クルー分倍河原保育園	3	6	0	0	0	0
50	ラフ・クルー分倍河原保育園分園	3	5	0	-	-	-
51	このめ保育園	6	4	2	1	0	0
52	アスク府中片町保育園	6	6	2	0	0	0
53	ふちしらコスモ保育園	6	14	1	2	0	0
54	トレジャーキッズぶばい保育園	4	7	1	0	0	0
55	まなびの森保育園東府中	6	8	1	0	0	0
56	まなびの森保育園府中	6	14	2	0	0	0
57	ソラスト府中保育園	9	11	1	1	0	0
58	ヴィラまなびの森保育園住吉町	3	10	1	2	0	0
59	府中緑町・学びの保育園	3	8	1	0	0	0
60	ひよこっこはちまん	1	1	0	-	-	-
61	ひよこっこわかまつ	2	2	0	-	-	-
62	ねぎし保育園	5	1	0	-	-	-